ปีเดือน,รหัสจังหวัด,ชื่อจังหวัด,รหัสสำนักทะเบียน,ชื่อสำนักทะเบียน,รหัสตำบล,ชื่อตำบล,รหัสหมู่บ้าน,ชื่อหมู่บ้าน,จำนวนประชากรชาย,จำนวนประชากรหญิง,จำนวนประชากรทั้งหมด,จำนวนบ้าน (หลังคาเรือน)
6812,0,ทั่วประเทศ,0,-,0,-,0,-,"32,045,088","33,763,923","65,809,011","29,540,110"
6812,10,กรุงเทพมหานคร,0,-,0,-,0,-,"2,526,272","2,896,296","5,422,568","3,356,358"
6812,11,จังหวัดสมุทรปราการ,0,-,0,-,0,-,"654,644","729,280","1,383,924","792,409"
6812,12,จังหวัดนนทบุรี,0,-,0,-,0,-,"610,989","711,291","1,322,280","775,919"
6812,13,จังหวัดปทุมธานี,0,-,0,-,0,-,"587,603","658,459","1,246,062","728,164"
6812,14,จังหวัดพระนครศรีอยุธยา,0,-,0,-,0,-,"393,983","428,720","822,703","366,492"
6812,15,จังหวัดอ่างทอง,0,-,0,-,0,-,"127,448","139,475","266,923","106,411"
6812,16,จังหวัดลพบุรี,0,-,0,-,0,-,"357,927","363,633","721,560","308,446"
6812,17,จังหวัดสิงห์บุรี,0,-,0,-,0,-,"93,983","104,041","198,024","82,690"
6812,18,จังหวัดชัยนาท,0,-,0,-,0,-,"149,462","162,212","311,674","134,321"
6812,19,จังหวัดสระบุรี,0,-,0,-,0,-,"312,863","325,614","638,477","310,146"
6812,20,จังหวัดชลบุรี,0,-,0,-,0,-,"798,596","847,389","1,645,985","1,194,372"
6812,21,จังหวัดระยอง,0,-,0,-,0,-,"386,293","403,437","789,730","594,435"
6812,22,จังหวัดจันทบุรี,0,-,0,-,0,-,"261,002","274,561","535,563","265,747"
6812,23,จังหวัดตราด,0,-,0,-,0,-,"111,274","114,317","225,591","115,767"
6812,24,จังหวัดฉะเชิงเทรา,0,-,0,-,0,-,"358,444","374,956","733,400","351,277"
6812,25,จังหวัดปราจีนบุรี,0,-,0,-,0,-,"247,521","254,433","501,954","246,663"
6812,26,จังหวัดนครนายก,0,-,0,-,0,-,"128,262","131,421","259,683","113,187"
6812,27,จังหวัดสระแก้ว,0,-,0,-,0,-,"279,611","281,236","560,847","237,085"
6812,30,จังหวัดนครราชสีมา,0,-,0,-,0,-,"1,278,348","1,335,084","2,613,432","1,094,756"
6812,31,จังหวัดบุรีรัมย์,0,-,0,-,0,-,"771,659","788,620","1,560,279","510,228"
6812,32,จังหวัดสุรินทร์,0,-,0,-,0,-,"671,798","682,679","1,354,477","430,692"
6812,33,จังหวัดศรีสะเกษ,0,-,0,-,0,-,"714,181","722,560","1,436,741","425,296"
6812,34,จังหวัดอุบลราชธานี,0,-,0,-,0,-,"927,678","937,823","1,865,501","668,687"
6812,35,จังหวัดยโสธร,0,-,0,-,0,-,"259,694","263,125","522,819","191,679"
6812,36,จังหวัดชัยภูมิ,0,-,0,-,0,-,"541,513","559,134","1,100,647","428,916"
6812,37,จังหวัดอำนาจเจริญ,0,-,0,-,0,-,"183,905","186,772","370,677","129,998"
6812,38,จังหวัดบึงกาฬ,0,-,0,-,0,-,"208,991","208,916","417,907","149,134"
6812,39,จังหวัดหนองบัวลำภู,0,-,0,-,0,-,"249,382","252,706","502,088","163,997"
6812,40,จังหวัดขอนแก่น,0,-,0,-,0,-,"863,862","902,105","1,765,967","703,153"
6812,41,จังหวัดอุดรธานี,0,-,0,-,0,-,"762,067","784,670","1,546,737","573,112"
6812,42,จังหวัดเลย,0,-,0,-,0,-,"314,066","315,311","629,377","243,020"
6812,43,จังหวัดหนองคาย,0,-,0,-,0,-,"252,051","258,138","510,189","192,378"
6812,44,จังหวัดมหาสารคาม,0,-,0,-,0,-,"453,093","471,031","924,124","324,703"
6812,45,จังหวัดร้อยเอ็ด,0,-,0,-,0,-,"625,987","643,461","1,269,448","422,603"
6812,46,จังหวัดกาฬสินธุ์,0,-,0,-,0,-,"471,528","485,893","957,421","335,591"
6812,47,จังหวัดสกลนคร,0,-,0,-,0,-,"561,786","572,305","1,134,091","415,928"
6812,48,จังหวัดนครพนม,0,-,0,-,0,-,"352,126","356,139","708,265","249,246"
6812,49,จังหวัดมุกดาหาร,0,-,0,-,0,-,"174,321","175,297","349,618","127,885"
6812,50,จังหวัดเชียงใหม่,0,-,0,-,0,-,"863,853","934,735","1,798,588","916,688"
6812,51,จังหวัดลำพูน,0,-,0,-,0,-,"188,407","206,537","394,944","195,859"
6812,52,จังหวัดลำปาง,0,-,0,-,0,-,"337,970","359,709","697,679","310,381"
6812,53,จังหวัดอุตรดิตถ์,0,-,0,-,0,-,"210,378","222,897","433,275","180,771"
6812,54,จังหวัดแพร่,0,-,0,-,0,-,"200,080","217,400","417,480","187,264"
6812,55,จังหวัดน่าน,0,-,0,-,0,-,"233,287","235,081","468,368","182,521"
6812,56,จังหวัดพะเยา,0,-,0,-,0,-,"218,714","233,250","451,964","207,675"
6812,57,จังหวัดเชียงราย,0,-,0,-,0,-,"627,342","668,580","1,295,922","603,627"
6812,58,จังหวัดแม่ฮ่องสอน,0,-,0,-,0,-,"145,888","142,869","288,757","125,752"
6812,60,จังหวัดนครสวรรค์,0,-,0,-,0,-,"489,891","518,471","1,008,362","442,181"
6812,61,จังหวัดอุทัยธานี,0,-,0,-,0,-,"155,460","163,508","318,968","133,605"
6812,62,จังหวัดกำแพงเพชร,0,-,0,-,0,-,"342,943","354,029","696,972","294,361"
6812,63,จังหวัดตาก,0,-,0,-,0,-,"355,835","348,659","704,494","246,226"
6812,64,จังหวัดสุโขทัย,0,-,0,-,0,-,"274,878","294,384","569,262","231,232"
6812,65,จังหวัดพิษณุโลก,0,-,0,-,0,-,"407,212","428,268","835,480","377,281"
6812,66,จังหวัดพิจิตร,0,-,0,-,0,-,"249,551","263,599","513,150","209,014"
6812,67,จังหวัดเพชรบูรณ์,0,-,0,-,0,-,"468,503","485,914","954,417","385,840"
6812,70,จังหวัดราชบุรี,0,-,0,-,0,-,"417,614","444,265","861,879","355,963"
6812,71,จังหวัดกาญจนบุรี,0,-,0,-,0,-,"447,296","449,377","896,673","375,254"
6812,72,จังหวัดสุพรรณบุรี,0,-,0,-,0,-,"393,212","424,637","817,849","327,755"
6812,73,จังหวัดนครปฐม,0,-,0,-,0,-,"443,582","482,736","926,318","449,769"
6812,74,จังหวัดสมุทรสาคร,0,-,0,-,0,-,"281,271","306,096","587,367","327,860"
6812,75,จังหวัดสมุทรสงคราม,0,-,0,-,0,-,"88,237","97,044","185,281","78,449"
6812,76,จังหวัดเพชรบุรี,0,-,0,-,0,-,"232,868","251,259","484,127","241,198"
6812,77,จังหวัดประจวบคีรีขันธ์,0,-,0,-,0,-,"269,387","282,056","551,443","299,161"
6812,80,จังหวัดนครศรีธรรมราช,0,-,0,-,0,-,"754,930","775,505","1,530,435","624,899"
6812,81,จังหวัดกระบี่,0,-,0,-,0,-,"240,718","244,078","484,796","212,135"
6812,82,จังหวัดพังงา,0,-,0,-,0,-,"132,518","133,135","265,653","127,398"
6812,83,จังหวัดภูเก็ต,0,-,0,-,0,-,"203,101","229,363","432,464","303,160"
6812,84,จังหวัดสุราษฎร์ธานี,0,-,0,-,0,-,"528,853","547,124","1,075,977","559,761"
6812,85,จังหวัดระนอง,0,-,0,-,0,-,"96,644","95,843","192,487","99,564"
6812,86,จังหวัดชุมพร,0,-,0,-,0,-,"249,489","257,367","506,856","259,113"
6812,90,จังหวัดสงขลา,0,-,0,-,0,-,"693,970","735,155","1,429,125","602,196"
6812,91,จังหวัดสตูล,0,-,0,-,0,-,"161,425","163,135","324,560","113,018"
6812,92,จังหวัดตรัง,0,-,0,-,0,-,"309,150","324,266","633,416","249,101"
6812,93,จังหวัดพัทลุง,0,-,0,-,0,-,"251,652","266,414","518,066","211,206"
6812,94,จังหวัดปัตตานี,0,-,0,-,0,-,"368,511","376,460","744,971","212,220"
6812,95,จังหวัดยะลา,0,-,0,-,0,-,"276,503","279,584","556,087","183,827"
6812,96,จังหวัดนราธิวาส,0,-,0,-,0,-,"409,752","418,594","828,346","235,934"
