ISO_1,HASC_1,NAME_1,POP_Coverage(%),Samples,LDP,CM_CP,area_sqkm,EW_km,NS_km
TH-15,TH.AT,Ang Thong,98.39,952,TM,100:21,982,34,40
TH-37,TH.AC,Amnat Charoen,97.9,"3,236",TM,104:45,3371,68,82
TH-36,TH.CY,Chaiyaphum,,,TM,101:49,13177,121,157
TH-55,TH.NA,Nan,,,TM,100:50,12923,107,179
TH-67,TH.PH,Phetchabun,,,TM,101:09,12907,122,201
TH-57,TH.CR,Chiang Rai,,,TM,99:52,12299,137,162
TH-41,TH.UN,Udon Thani,,,LCC,17:25,11588,174,142
TH-40,TH.KK,Khon Kaen,,,TM,102:35,11050,153,161
TH-42,TH.LE,Loei,,,TM,101:38,11033,139,162
TH-31,TH.BR,Buri Ram,,,TM,102:58,10410,115,184
TH-80,TH.NT,Nakhon Si Thammarat,,,TM,99:47,10019,120,165
TH-47,TH.SN,Sakon Nakhon,,,TM,103:50,9985,125,146
TH-60,TH.NS,Nakhon Sawan,,,LCC,15:41,9875,188,126
TH-33,TH.SI,Si Sa Ket,,,TM,104:22,9157,107,135
TH-32,TH.SU,Surin,,,TM,103:40,9079,107,127
TH-62,TH.KP,Kamphaeng Phet,,,TM,99:32,8996,113,116
TH-45,TH.RE,Roi Et,,,TM,103:49,8117,115,118
TH-90,TH.SG,Songkhla,,,TM,100:33,7669,116,182
TH-46,TH.KL,Kalasin,,,LCC,16:38,7200,121,102
TH-27,TH.SK,Sa Kaeo,,,TM,102:19,7063,116,106
TH-64,TH.SO,Sukhothai,,,TM,99:43,7014,84,126
TH-61,TH.UT,Uthai Thani,,,LCC,15:21,6907,120,95
TH-54,TH.PR,Phrae,,,TM,100:04,6815,124,125
TH-77,TH.PK,Prachuap Khiri Khan,,,TM,99:38,6555,94,188
TH-16,TH.LB,Lop Buri,,,TM,100:54,6477,106,102
TH-56,TH.PY,Phayao,,,TM,100:11,6473,101,103
TH-22,TH.CT,Chanthaburi,,,TM,102:08,6412,91,114
TH-76,TH.PE,Phetchaburi,,,LCC,12:57,6340,108,89
TH-86,TH.CP,Chumphon,,,TM,99:04,6095,97,158
TH-44,TH.MS,Maha Sarakham,,,TM,103:10,5827,70,137
TH-48,TH.NF,Nakhon Phanom,,,TM,104:26,5714,87,137
TH-72,TH.SH,Suphan Buri,,,TM,99:54,5599,107,113
TH-24,TH.CC,Chachoengsao,,,LCC,13:36,5372,123,88
TH-70,TH.RT,Ratchaburi,,,TM,99:35,5326,97,88
TH-25,TH.PB,Prachin Buri,,,TM,101:39,5148,104,97
TH-92,TH.TG,Trang,,,TM,99:36,4812,84,104
TH-51,TH.LN,Lamphun,,,TM,98:57,4721,69,142
TH-20,TH.CB,Chon Buri,,,TM,101:12,4550,95,111
TH-66,TH.PC,Phichit,,,TM,100:21,4495,83,81
TH-96,TH.NW,Narathiwat,,,TM,101:43,4486,79,99
TH-81,TH.KR,Krabi,,,TM,99:01,4483,87,112
TH-95,TH.YL,Yala,,,TM,101:14,4461,85,118
TH-39,TH.NB,Nong Bua Lam Phu,,,TM,102:18,4322,74,101
TH-35,TH.YS,Yasothon,,,TM,104:21,4257,88,117
TH-38,TH.BK,Bueng Kan,,,LCC,18:09,4204,99,75
TH-93,TH.PL,Phatthalung,,,TM,100:04,3854,76,89
TH-21,TH.RY,Rayong,,,LCC,12:51,3788,91,64
TH-19,TH.SR,Saraburi,,,TM,101:01,3683,94,89
TH-82,TH.PG,Phangnga,,,TM,98:25,3667,55,135
TH-43,TH.NK,Nong Khai,,,LCC,17:56,3383,143,78
TH-999,TH.GBKK,GreaterBKK,,,TM,100:36,3232,75,73
TH-85,TH.RN,Ranong,,,TM,98:42,3112,62,164
TH-14,TH.PA,Phra Nakhon Si Ayutthaya,,,TM,100:32,2629,62,62
TH-23,TH.TT,Trat,,,TM,102:32,2555,71,122
TH-18,TH.CN,Chai Nat,,,LCC,15:08,2554,68,57
TH-91,TH.SA,Satun,,,TM,99:58,2460,60,80
TH-73,TH.NP,Nakhon Pathom,,,TM,100:06,2211,54,62
TH-26,TH.NN,Nakhon Nayok,,,TM,101:10,2209,63,61
TH-94,TH.PI,Pattani,,,LCC,6:44,1964,77,44
TH-13,TH.PT,Pathum Thani,,,LCC,14:04,1562,66,39
TH-74,TH.SS,Samut Sakhon,,,LCC,13:34,877,42,34
TH-17,TH.SB,Sing Buri,,,TM,100:21,868,32,43
TH-83,TH.PU,Phuket,,,TM,98:21,532,20,49
TH-75,TH.SM,Samut Songkhram,,,TM,99:57,417,24,29
TH-50,TH.CM_N,Chiang Mai North,,,TM,99:01,8129,115,127
TH-50,TH.CM_C,Chiang Mai Central,,,LCC,18:43,9753,139,112
TH-50,TH.CM_S,Chiang Mai South,,,TM,98:26,5455,91,112
TH-71,TH.KN_N,Kanchanaburi North,,,TM,98:46,11922,125,169
TH-71,TH.KN_S,Kanchanaburi South,,,TM,99:27,8079,107,124
TH-52,TH.LG_N,Lampang North,,,TM,99:42,4794,83,103
TH-52,TH.LG_S,Lampang South,,,TM,99:24,8386,124,163
TH-49,TH.MD_N,Mukdahan North,,,TM,104:21,2010,63,64
TH-49,TH.MD_S,Mukdahan South,,,TM,104:40,2333,60,71
TH-58,TH.MH_N,Mae Hong Son North,,,TM,98:09,7702,102,135
TH-58,TH.MH_S,Mae Hong Son South,,,TM,97:53,5696,99,115
TH-30,TH.NR_N,Nakhon Ratchasima North,,,TM,102:30,7238,106,111
TH-30,TH.NR_S,Nakhon Ratchasima South,,,TM,101:55,14178,161,149
TH-65,TH.PS_W,Phitsanulok West,,,TM,100:24,6912,115,120
TH-65,TH.PS_E,Phitsanulok East,,,TM,100:47,4165,78,105
TH-84,TH.ST_N,Surat Thani North,,,TM,98:51,6774,95,123
TH-84,TH.ST_S,Surat Thani South,,,TM,99:18,6131,100,115
TH-63,TH.TK_N,Tak North,,,TM,99:00,6476,101,150
TH-63,TH.TK_C,Tak Central,,,TM,98:31,6482,137,177
TH-63,TH.TK_S,Tak South,,,TM,98:53,5009,63,134
TH-53,TH.UD_W,Uttaradit West,,,TM,100:11,3161,79,77
TH-53,TH.UD_C,Uttaradit Central,,,LCC,17:50,4068,95,79
TH-53,TH.UD_E,Uttaradit East,,,TM,101:04,958,29,53
TH-34,TH.UR_N,Ubon Ratchathani North,,,TM,105:15,4830,80,93
TH-34,TH.UR_S,Ubon Ratchathani South,,,TM,105:03,11199,133,164
