ISO_1,HASC_1,NAME_1,GADM_num_polys,area_sqkm,EW_km,NS_km,LDP,CM_CP
TH-36,TH.CY,Chaiyaphum,1.0,13177,121,157,TM,101:49
TH-55,TH.NA,Nan,1.0,12923,107,179,TM,100:50
TH-67,TH.PH,Phetchabun,1.0,12907,122,201,TM,101:09
TH-57,TH.CR,Chiang Rai,1.0,12299,137,162,TM,99:52
TH-41,TH.UN,Udon Thani,1.0,11588,174,142,LCC,17:25
TH-40,TH.KK,Khon Kaen,1.0,11050,153,161,TM,102:35
TH-42,TH.LE,Loei,1.0,11033,139,162,TM,101:38
TH-31,TH.BR,Buri Ram,1.0,10410,115,184,TM,102:58
TH-80,TH.NT,Nakhon Si Thammarat,3.0,10019,120,165,TM,99:47
TH-47,TH.SN,Sakon Nakhon,1.0,9985,125,146,TM,103:50
TH-60,TH.NS,Nakhon Sawan,1.0,9875,188,126,LCC,15:41
TH-33,TH.SI,Si Sa Ket,1.0,9157,107,135,TM,104:22
TH-32,TH.SU,Surin,1.0,9079,107,127,TM,103:40
TH-62,TH.KP,Kamphaeng Phet,1.0,8996,113,116,TM,99:32
TH-45,TH.RE,Roi Et,1.0,8117,115,118,TM,103:49
TH-90,TH.SG,Songkhla,6.0,7669,116,182,TM,100:33
TH-46,TH.KL,Kalasin,1.0,7200,121,102,LCC,16:38
TH-27,TH.SK,Sa Kaeo,1.0,7063,116,106,TM,102:19
TH-64,TH.SO,Sukhothai,1.0,7014,84,126,TM,99:43
TH-61,TH.UT,Uthai Thani,1.0,6907,120,95,LCC,15:21
TH-54,TH.PR,Phrae,1.0,6815,124,125,TM,100:04
TH-77,TH.PK,Prachuap Khiri Khan,17.0,6555,94,188,TM,99:38
TH-16,TH.LB,Lop Buri,1.0,6477,106,102,TM,100:54
TH-56,TH.PY,Phayao,1.0,6473,101,103,TM,100:11
TH-22,TH.CT,Chanthaburi,16.0,6412,91,114,TM,102:08
TH-76,TH.PE,Phetchaburi,1.0,6340,108,89,LCC,12:57
TH-86,TH.CP,Chumphon,33.0,6095,97,158,TM,99:04
TH-44,TH.MS,Maha Sarakham,1.0,5827,70,137,TM,103:10
TH-48,TH.NF,Nakhon Phanom,1.0,5714,87,137,TM,104:26
TH-72,TH.SH,Suphan Buri,1.0,5599,107,113,TM,99:54
TH-24,TH.CC,Chachoengsao,1.0,5372,123,88,LCC,13:36
TH-70,TH.RT,Ratchaburi,1.0,5326,97,88,TM,99:35
TH-25,TH.PB,Prachin Buri,1.0,5148,104,97,TM,101:39
TH-92,TH.TG,Trang,47.0,4812,84,104,TM,99:36
TH-51,TH.LN,Lamphun,1.0,4721,69,142,TM,98:57
TH-20,TH.CB,Chon Buri,31.0,4550,95,111,TM,101:12
TH-66,TH.PC,Phichit,1.0,4495,83,81,TM,100:21
TH-96,TH.NW,Narathiwat,1.0,4486,79,99,TM,101:43
TH-81,TH.KR,Krabi,117.0,4483,87,112,TM,99:01
TH-95,TH.YL,Yala,1.0,4461,85,118,TM,101:14
TH-39,TH.NB,Nong Bua Lam Phu,1.0,4322,74,101,TM,102:18
TH-35,TH.YS,Yasothon,1.0,4257,88,117,TM,104:21
TH-38,TH.BK,Bueng Kan,1.0,4204,99,75,LCC,18:09
TH-93,TH.PL,Phatthalung,1.0,3854,76,89,TM,100:04
TH-21,TH.RY,Rayong,10.0,3788,91,64,LCC,12:51
TH-19,TH.SR,Saraburi,1.0,3683,94,89,TM,101:01
TH-82,TH.PG,Phangnga,121.0,3667,55,135,TM,98:25
TH-43,TH.NK,Nong Khai,1.0,3383,143,78,LCC,17:56
TH-37,TH.AC,Amnat Charoen,1.0,3371,68,82,TM,104:45
TH-999,TH.GBKK,GreaterBKK,1.0,3232,75,73,TM,100:36
TH-85,TH.RN,Ranong,57.0,3112,62,164,TM,98:42
TH-14,TH.PA,Phra Nakhon Si Ayutthaya,1.0,2629,62,62,TM,100:32
TH-23,TH.TT,Trat,42.0,2555,71,122,TM,102:32
TH-18,TH.CN,Chai Nat,1.0,2554,68,57,LCC,15:08
TH-91,TH.SA,Satun,70.0,2460,60,80,TM,99:58
TH-73,TH.NP,Nakhon Pathom,1.0,2211,54,62,TM,100:06
TH-26,TH.NN,Nakhon Nayok,1.0,2209,63,61,TM,101:10
TH-94,TH.PI,Pattani,1.0,1964,77,44,LCC,6:44
TH-13,TH.PT,Pathum Thani,1.0,1562,66,39,LCC,14:04
TH-15,TH.AT,Ang Thong,1.0,982,34,40,TM,100:21
TH-74,TH.SS,Samut Sakhon,1.0,877,42,34,LCC,13:34
TH-17,TH.SB,Sing Buri,1.0,868,32,43,TM,100:21
TH-83,TH.PU,Phuket,29.0,532,20,49,TM,98:21
